movie,reviewer,metascore,review_score,review_text,review_date,details
Grizzly Man,Manohla Dargis,87,100,"Mr. Herzog is also no ordinary filmmaker. It is the rare documentary like Grizzly Man, which has beauty and passion often lacking in any type of film, that makes you want to grab its maker and head off to the nearest bar to discuss man's domination of nature and how Disney's cute critters reflect our profound alienation from the natural order.",,http://www.metacritic.com/movie/grizzly-man/details
A Most Violent Year,A.O. Scott,79,100,"J. C. Chandor, the writer and director of this pulpy, meaty, altogether terrific new film, and Bradford Young, its supremely talented director of photography, succeed in giving this beat-up version of the city both historical credibility and expressive power.","Dec 30, 2014",http://www.metacritic.com/movie/a-most-violent-year/details
12 Angry Men,,96,100,"A penetrating, sensitive, and sometimes shocking dissection of the hearts and minds of men who obviously are something less than gods. It makes for taut, absorbing, and compelling drama that reaches far beyond the close confines of its jury room setting.",,http://www.metacritic.com/movie/12-angry-men/details
The Girls in the Band,Jeannette Catsoulis,90,100,"The Girls in the Band is everything a worthwhile documentary should be, and then some: engaging, informative, thorough and brimming with delightful characters.","May  9, 2013",http://www.metacritic.com/movie/the-girls-in-the-band/details
We Were Here,Stephen Holden,94,100,"Throughout We Were Here there is not a hint of mawkishness, self-pity or self-congratulation. The humility, wisdom and cumulative sorrow expressed lend the film a glow of spirituality and infuse it with grace.","Sep  8, 2011",http://www.metacritic.com/movie/we-were-here/details
The Hurt Locker,A.O. Scott,94,100,The best nondocumentary American feature made yet about the war in Iraq.,,http://www.metacritic.com/movie/the-hurt-locker/details
Test,Stephen Holden,70,100,"As Frankie, Mr. Marlowe delivers a quiet, moving performance of such subtlety and truthfulness that you almost feel that you are living his life.","Jun 12, 2014",http://www.metacritic.com/movie/test/details
"Two Days, One Night",A.O. Scott,89,100,"Her shoulders slumped, her eyes weary, her gait heavy, Ms. Cotillard moves past naturalism into something impossible to doubt and hard to describe. Sandra is an ordinary person in mundane circumstances, but her story, plainly and deliberately told, is suspenseful, sobering and, in the original, fear-of-God sense of the word, tremendous.","Dec 23, 2014",http://www.metacritic.com/movie/two-days-one-night/details
The Godfather,Vincent Canby,100,100,One of the most brutal and moving chronicles of American life ever designed within the limits of popular entertainment. [16 Mar 1972],,http://www.metacritic.com/movie/the-godfather/details
Who Framed Roger Rabbit,Elvis Mitchell,83,100,"A film whose best moments are so novel, so deliriously funny, and so crazily unexpected that they truly must be seen to be believed. [22 June 1988]",,http://www.metacritic.com/movie/who-framed-roger-rabbit/details
No Way Out,Vincent Canby,77,100,"No Way Out has the exuberance of something freshly conceived. It's so effective, in fact, that when it's all over, you might want to sit through the beginning again just to see if the end is justified by the means. I suspect that it is.",,http://www.metacritic.com/movie/no-way-out/details
Ida,A.O. Scott,91,100,"There is an implicit argument here between faith and materialism, one that is resolved with wit, conviction and generosity of spirit. Mr. Pawlikowski has made one of the finest European films (and one of most insightful films about Europe, past and present) in recent memory.","May  1, 2014",http://www.metacritic.com/movie/ida/details
Little Men,A.O. Scott,86,100,"It’s a subtle movie, alert to the almost imperceptible currents of feeling that pass between its title characters.","Aug  4, 2016",http://www.metacritic.com/movie/little-men/details
